Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCO06,OUT017,632.6943
FDO16,OUT035,1431.9812
FDC60,OUT049,1443.0916
FDA48,OUT018,3164.5088
FDZ36,OUT027,5140.0923
FDK27,OUT045,2064.309
FDW23,OUT018,603.6929
FDM14,OUT018,1552.5995
FDM14,OUT013,1623.3066
FDW60,OUT018,2774.74
FDE21,OUT013,2032.7727
NCM42,OUT035,1627.301
FDY59,OUT010,195.66133
DRI49,OUT049,1383.9485
FDT28,OUT019,328.7684
FDQ22,OUT018,603.6929
FDR60,OUT049,1217.6981
FDC50,OUT019,261.7749
FDV24,OUT013,2519.6514
DRF48,OUT010,468.31998
FDQ47,OUT046,644.30597
DRN36,OUT049,1576.4758
NCY06,OUT035,2065.4607
FDE52,OUT035,1447.4453
NCB54,OUT045,2064.309
NCF31,OUT035,2528.603
FDJ08,OUT027,5019.7446
NCC07,OUT017,1623.3066
NCD19,OUT027,1789.0378
FDL46,OUT049,2031.4911
FDM20,OUT045,4061.2588
NCI06,OUT010,503.99615
DRM11,OUT035,4119.64
NCH07,OUT018,2413.288
FDS23,OUT013,2089.6875
FDO49,OUT018,718.7303
FDS35,OUT049,945.3677
DRK39,OUT045,1400.307
DRI39,OUT049,846.93835
FDV04,OUT017,2573.307
NCN14,OUT035,3102.7996
FDH08,OUT013,3823.8052
FDS20,OUT046,3101.5188
FDV40,OUT049,1073.5646
FDZ48,OUT010,238.08055
FDS24,OUT027,2487.5518
FDK44,OUT049,2934.4182
FDS48,OUT045,2527.3228
FDK26,OUT010,475.22458
FDD23,OUT045,3081.402
NCH54,OUT017,2583.444
NCP14,OUT010,225.70346
FDM60,OUT010,113.93961
FDV24,OUT017,2515.8525
FDH08,OUT018,3207.3538
FDS12,OUT027,3170.228
FDR39,OUT027,5038.2544
FDP12,OUT027,1130.7644
DRF60,OUT027,6122.156
FDC09,OUT035,1622.0413
FDF50,OUT018,2937.4915
FDG28,OUT035,4078.4714
NCE19,OUT017,871.2654
NCM53,OUT010,243.9612
NCN18,OUT049,1682.8857
FDF32,OUT035,3124.3743
FDF11,OUT013,4089.936
DRI59,OUT049,3715.3452
NCG54,OUT035,2879.795
FDM44,OUT046,1618.8
FDT57,OUT018,3311.325
FDV24,OUT046,2527.3228
FDI50,OUT019,534.42725
FDS09,OUT035,743.7858
NCC31,OUT027,4253.2646
FDQ07,OUT019,539.7565
FDC22,OUT017,3082.6829
FDZ56,OUT046,2878.5142
FDZ40,OUT019,180.16734
FDS46,OUT027,3058.8862
DRD24,OUT045,2064.309
FDV45,OUT017,3082.6829
FDL26,OUT045,2534.8325
FDA56,OUT018,1830.9147
FDN27,OUT046,2010.0055
FDM20,OUT049,4071.5964
FDO16,OUT017,1401.6521
FDL03,OUT035,3082.6829
FDE58,OUT046,2010.0055
FDI02,OUT027,3403.9832
NCC55,OUT019,75.684944
FDR03,OUT018,3166.2231
FDB14,OUT017,1467.1438
FDR45,OUT013,4095.0642
NCN07,OUT017,2086.581
FDM51,OUT019,243.78265
FDT52,OUT027,6122.156
FDL26,OUT046,2532.6045
NCZ42,OUT046,4056.1306
DRI47,OUT019,367.76407
FDW40,OUT013,2089.6875
FDN34,OUT046,2878.5142
FDS01,OUT035,2932.0588
NCG55,OUT045,2010.0055
FDC11,OUT035,1447.4453
FDX35,OUT018,3181.6416
NCB06,OUT046,2597.2825
FDR09,OUT019,536.9702
FDC53,OUT017,1573.4111
FDY45,OUT013,4130.0083
FDA22,OUT010,390.99686
FDE02,OUT035,1507.7974
FDW21,OUT045,1618.8
FDV34,OUT046,1098.0992
FDS59,OUT049,1626.1493
NCW17,OUT017,2086.581
NCK54,OUT046,2010.0055
FDG17,OUT019,530.4153
FDG35,OUT017,2929.6902
FDD08,OUT010,114.360214
NCO07,OUT017,3694.2947
FDJ10,OUT010,278.91296
FDW36,OUT017,1623.3066
FDW21,OUT010,223.7433
FDY19,OUT017,2029.666
DRE03,OUT013,735.6661
NCC55,OUT049,662.15625
FDH52,OUT010,157.56963
FDO09,OUT017,4115.994
FDU43,OUT045,4056.1306
FDX09,OUT010,472.62897
FDH40,OUT019,264.62457
FDW58,OUT017,1623.3066
FDC47,OUT017,3788.0024
NCR41,OUT035,1504.9778
DRG49,OUT035,4078.4714
FDC52,OUT027,3920.5195
FDY13,OUT046,1104.051
FDY35,OUT013,664.56915
FDI35,OUT017,3099.9514
NCU18,OUT049,2064.309
FDY33,OUT018,2413.288
FDC15,OUT027,4245.2065
FDU01,OUT049,3085.0422
NCU42,OUT046,2878.5142
NCV29,OUT018,2774.74
NCY30,OUT017,3102.7996
FDQ46,OUT049,1695.3936
FDG58,OUT027,4329.631
FDK33,OUT017,3651.8083
NCD07,OUT045,2010.0055
NCX29,OUT027,4073.948
NCT42,OUT013,2519.6514
DRN59,OUT035,741.6092
FDI44,OUT035,1276.0468
FDA45,OUT049,2934.4182
FDP31,OUT045,1016.2888
FDY01,OUT046,2010.0055
FDT09,OUT018,1830.9147
DRH03,OUT027,2649.8396
FDA36,OUT018,2872.439
NCF31,OUT017,2521.1343
FDG14,OUT049,2525.8726
FDG28,OUT027,6108.8765
FDU14,OUT049,4106.5405
FDY47,OUT019,310.95892
FDI56,OUT049,1443.0916
DRD01,OUT013,839.2118
FDM22,OUT046,878.7186
FDH33,OUT013,663.3342
DRZ24,OUT013,2037.9658
NCQ38,OUT046,1620.8895
FDO16,OUT027,2399.6838
FDU07,OUT027,4013.0403
NCB07,OUT013,3082.1858
FDU48,OUT045,2064.309
NCM43,OUT045,2604.8542
FDR31,OUT010,368.6107
DRK49,OUT018,603.6929
NCI30,OUT010,579.0629
DRD60,OUT017,2982.1304
NCG19,OUT046,3933.945
FDH12,OUT035,1622.0413
FDM32,OUT035,1456.8003
FDM27,OUT035,2536.1133
NCU53,OUT027,4354.3438
NCQ18,OUT046,1613.3783
FDS10,OUT013,2955.323
FDB33,OUT027,4245.2065
FDI12,OUT013,1445.5088
NCW42,OUT013,3699.764
NCC06,OUT018,1830.9147
FDW02,OUT017,2086.581
NCD43,OUT017,1623.3066
FDM57,OUT018,1305.9174
FDA58,OUT017,3963.0955
FDK56,OUT046,3081.402
FDP52,OUT045,3781.7478
FDW20,OUT018,1830.9147
FDS52,OUT049,1615.8446
NCT29,OUT018,1828.3947
NCL54,OUT013,2931.5618
FDC05,OUT045,3081.402
FDF34,OUT035,3082.6829
FDP03,OUT027,3138.4966
FDD32,OUT010,205.42245
FDZ10,OUT045,2064.309
FDZ40,OUT035,878.7186
FDD51,OUT018,613.83246
NCY30,OUT019,423.5263
FDP58,OUT017,3651.8083
FDV49,OUT017,4115.994
FDY24,OUT019,150.33882
NCO55,OUT017,1623.3066
FDR13,OUT017,2029.666
FDS51,OUT017,931.3033
FDP26,OUT045,1620.8895
NCB54,OUT027,3174.4026
FDF32,OUT017,3082.6829
FDN31,OUT018,2872.439
DRM48,OUT017,634.724
FDN20,OUT049,2879.3403
DRL01,OUT046,3787.518
FDV56,OUT049,1620.8895
DRH13,OUT027,2659.8538
FDA03,OUT017,2518.6572
FDF47,OUT027,5554.36
FDX32,OUT046,2527.3228
FDX57,OUT049,1541.5321
NCA30,OUT045,3081.402
FDO49,OUT013,735.6661
FDL04,OUT019,246.1825
DRM48,OUT035,646.2285
FDR16,OUT013,3647.2366
NCC19,OUT018,2872.439
NCE42,OUT045,3933.945
FDY24,OUT017,871.2654
FDH19,OUT049,2934.4182
FDJ46,OUT013,2931.5618
FDN45,OUT010,615.87885
FDY08,OUT035,2065.4607
FDZ37,OUT035,1447.4453
NCT30,OUT045,741.6092
DRY23,OUT018,612.59753
NCZ30,OUT018,1830.9147
FDC44,OUT018,1772.487
FDB45,OUT035,1622.0413
FDY04,OUT013,2597.1833
FDM27,OUT046,2592.0374
FDZ43,OUT017,4050.6943
FDT39,OUT019,337.13828
NCC06,OUT019,311.20825
FDL15,OUT027,4329.631
FDL57,OUT017,4085.6384
FDU08,OUT046,1610.4786
FDK40,OUT017,4115.994
FDQ12,OUT010,574.0957
FDS48,OUT017,2515.8525
FDP09,OUT045,3608.0251
FDW21,OUT049,1613.3783
FDY25,OUT035,2982.1304
DRE13,OUT017,1448.7107
FDV43,OUT019,76.27499
FDD22,OUT045,1695.3936
FDM46,OUT019,260.1912
NCO30,OUT010,468.13092
FDM25,OUT046,2930.778
NCN41,OUT049,2064.309
FDU24,OUT045,1464.7268
FDZ50,OUT046,3081.402
FDP45,OUT013,4130.0083
NCM54,OUT045,2064.309
FDW10,OUT019,429.4828
FDP20,OUT017,2086.581
FDK32,OUT046,2527.3228
FDN52,OUT049,1443.0916
FDM58,OUT045,1682.8857
FDZ46,OUT027,3301.6973
NCA18,OUT018,1771.241
FDD35,OUT046,2064.309
NCK31,OUT035,741.6092
FDI40,OUT027,2663.6938
FDT50,OUT019,262.0832
NCT06,OUT046,2604.8542
FDT31,OUT035,3082.6829
FDT45,OUT049,815.4065
FDT13,OUT045,3081.402
FDO50,OUT045,1446.2937
NCU18,OUT010,281.94458
NCR54,OUT049,3085.0422
NCO18,OUT018,2774.74
FDU09,OUT045,878.7186
FDT13,OUT018,2872.439
FDE09,OUT046,1695.3936
NCK53,OUT019,252.5907
FDG45,OUT049,3610.8596
DRH15,OUT035,690.2732
FDO21,OUT019,537.8229
FDD14,OUT027,5221.232
FDC09,OUT046,1620.8895
FDH45,OUT027,1152.7793
FDV32,OUT046,1016.2888
FDG12,OUT035,2056.2812
FDS32,OUT013,2089.6875
NCL55,OUT018,3516.6538
DRE01,OUT035,4078.4714
DRE15,OUT049,1220.0618
NCL42,OUT045,4061.2588
FDP31,OUT013,946.3229
FDN33,OUT018,1355.6053
FDZ59,OUT046,2604.8542
FDE45,OUT010,444.66595
FDJ07,OUT013,2037.9658
FDQ45,OUT018,2872.439
FDM33,OUT027,5331.146
FDO15,OUT010,163.86954
FDM46,OUT013,1464.7839
FDR03,OUT045,3581.9448
FDY49,OUT018,2557.4106
FDQ60,OUT045,2031.4911
FDW10,OUT049,2934.4182
FDO51,OUT049,685.57007
FDJ40,OUT018,1503.7108
FDS20,OUT018,2892.556
FDU45,OUT013,1738.5906
FDV02,OUT035,2879.795
FDN09,OUT046,4061.2588
NCM55,OUT027,5140.0923
FDN23,OUT018,2326.631
FDY31,OUT010,388.13644
FDW03,OUT010,225.70346
FDD14,OUT046,3093.8333
FDV23,OUT017,2086.581
DRI03,OUT045,2930.778
FDN13,OUT035,1614.53
FDF45,OUT027,1760.8186
FDU46,OUT035,1447.4453
FDB57,OUT049,3715.3452
FDV12,OUT049,1613.3783
FDQ58,OUT013,2519.6514
NCA18,OUT017,2029.666
FDH52,OUT049,882.1545
FDM24,OUT018,2349.0146
NCP43,OUT027,5021.233
NCO18,OUT019,429.4828
FDM32,OUT017,1448.7107
NCL07,OUT017,638.19904
FDK03,OUT013,4130.0083
FDP59,OUT017,1623.3066
FDQ24,OUT049,4106.5405
FDQ16,OUT018,1508.8157
FDU44,OUT013,2589.612
FDH28,OUT010,114.360214
FDV28,OUT019,75.7621
FDM22,OUT045,878.7186
FDR56,OUT046,3081.402
FDV39,OUT049,3085.0422
FDU37,OUT019,244.30243
FDQ11,OUT010,639.25415
FDX02,OUT045,3705.0078
NCS42,OUT018,1355.6053
FDY57,OUT027,2649.8396
FDB21,OUT049,4071.5964
FDE28,OUT017,3807.5918
FDQ55,OUT017,2028.0425
FDA48,OUT049,3715.3452
FDZ19,OUT045,2930.778
NCC43,OUT045,4096.2026
NCV18,OUT046,1400.307
NCA42,OUT018,2413.288
FDY45,OUT046,4096.2026
NCC30,OUT045,2954.5393
FDM57,OUT013,1445.5088
FDL09,OUT010,386.9872
FDB09,OUT027,3138.4966
FDT44,OUT035,2032.643
NCT06,OUT027,4229.307
FDX26,OUT049,3097.4734
FDK32,OUT013,2524.9336
DRA12,OUT046,2064.309
FDO46,OUT010,468.31998
FDE52,OUT013,1445.5088
NCH42,OUT045,3781.7478
FDV08,OUT035,675.764
FDB47,OUT018,3200.6614
FDC28,OUT010,238.08055
FDD22,OUT046,2001.9149
FDS07,OUT027,3058.8862
DRI13,OUT045,3608.0251
FDG32,OUT018,3171.4966
FDU14,OUT017,4085.6384
FDD28,OUT019,210.7608
NCP41,OUT017,1628.5664
FDS08,OUT049,2934.4182
FDX47,OUT045,2562.3623
FDC53,OUT019,266.50797
FDQ19,OUT035,4078.4714
FDL14,OUT045,2532.6045
FDM33,OUT019,536.2167
FDA51,OUT045,2021.3397
FDZ27,OUT018,718.7303
FDT04,OUT046,666.8594
DRC13,OUT049,2064.309
FDR16,OUT027,5300.1646
FDQ03,OUT027,6122.156
FDE38,OUT035,2865.1975
DRH23,OUT027,1769.2408
FDT11,OUT019,508.52316
FDD09,OUT035,2958.8728
FDR40,OUT045,1400.307
FDX07,OUT017,3095.114
FDR07,OUT035,1572.1455
FDA51,OUT017,2018.7311
FDT59,OUT019,531.7478
FDF20,OUT017,3082.6829
FDR13,OUT045,2001.9149
FDY26,OUT049,3653.3455
FDW04,OUT017,2086.581
FDK52,OUT017,3788.0024
FDN60,OUT049,2560.9126
FDM09,OUT019,432.6183
FDP46,OUT049,1443.0916
FDB50,OUT019,245.74428
NCQ29,OUT049,4112.765
FDP16,OUT027,6108.8765
FDX33,OUT018,2413.288
FDP07,OUT010,449.6384
FDN22,OUT046,4096.2026
FDF39,OUT049,4112.765
FDS21,OUT017,920.18677
NCM42,OUT013,1623.3066
FDK50,OUT019,535.5285
DRF13,OUT027,4045.6248
FDH35,OUT018,2420.8594
FDP60,OUT018,1496.1996
DRJ49,OUT027,3174.4026
NCT42,OUT019,349.9941
FDE38,OUT049,2859.174
FDI04,OUT049,3085.0422
NCH54,OUT045,2565.709
FDT56,OUT049,865.56555
DRD15,OUT018,3207.3538
FDV58,OUT013,3082.1858
FDP21,OUT049,3085.0422
FDH05,OUT013,3823.8052
FDR10,OUT027,4229.307
NCP06,OUT045,2527.3228
FDF33,OUT049,1620.8895
DRK37,OUT013,3082.1858
DRH49,OUT045,1402.688
FDT58,OUT013,2856.9724
FDD41,OUT018,1503.7108
FDP40,OUT018,1557.4023
FDM51,OUT027,2663.6938
FDO45,OUT010,186.58907
FDW33,OUT010,225.70346
FDY24,OUT045,878.7186
FDB10,OUT010,575.35406
FDM40,OUT035,2065.4607
NCI06,OUT017,2974.2007
FDW12,OUT019,267.83176
FDX48,OUT027,4228.8447
NCW05,OUT027,2659.8538
FDX27,OUT017,1509.0627
DRM37,OUT045,3081.402
FDA38,OUT045,4061.2588
FDR36,OUT046,666.8594
FDZ45,OUT046,3081.402
FDG05,OUT017,2578.1985
FDK28,OUT013,4136.233
FDV47,OUT045,1446.2937
FDN21,OUT045,2597.2825
FDP20,OUT027,3170.228
FDI35,OUT045,3098.6707
DRY23,OUT013,664.56915
FDA56,OUT017,2086.581
FDB09,OUT013,2089.6875
NCO26,OUT027,3058.8862
FDQ49,OUT018,2366.446
FDI52,OUT027,3136.3254
FDZ44,OUT027,3058.8862
FDZ09,OUT018,2420.8594
FDY03,OUT049,2064.3652
NCG42,OUT017,2086.581
DRI13,OUT027,5331.146
FDQ32,OUT013,2089.6875
FDW16,OUT035,1447.4453
FDU27,OUT046,741.6092
FDR28,OUT010,438.31586
FDQ49,OUT010,381.11746
FDS37,OUT046,2010.0055
FDW26,OUT018,3164.5088
FDX12,OUT018,3472.0498
NCP06,OUT013,2519.6514
FDW45,OUT010,388.13644
NCN30,OUT049,1503.8259
FDN24,OUT049,815.4065
NCL41,OUT027,1130.7644
FDR02,OUT019,285.73788
FDD09,OUT010,508.49023
FDS33,OUT010,186.58907
FDU22,OUT045,2061.7893
FDI53,OUT013,2597.1833
DRH01,OUT049,2934.4182
FDX32,OUT013,2089.6875
NCP30,OUT018,603.6929
FDB60,OUT045,3081.402
FDB14,OUT049,1462.367
NCP02,OUT035,878.7186
FDJ10,OUT017,2086.581
FDG34,OUT046,1682.8857
NCB18,OUT017,1448.7107
FDM16,OUT049,1034.7163
FDW25,OUT018,1308.2983
FDB35,OUT010,191.94382
DRN11,OUT013,2089.6875
FDF41,OUT019,530.4153
FDH16,OUT045,1446.2937
NCQ50,OUT018,3158.1758
DRH23,OUT018,814.2954
DRJ37,OUT013,2519.6514
DRJ24,OUT027,5140.0923
FDY16,OUT035,3095.114
FDQ27,OUT045,1620.8895
FDZ33,OUT045,2527.3228
FDF29,OUT045,2064.309
FDA08,OUT049,2603.404
FDG31,OUT046,1016.2888
FDE34,OUT019,453.85803
NCR30,OUT027,1982.2418
FDV33,OUT035,4119.64
DRZ24,OUT018,1828.3947
NCL54,OUT035,2932.0588
FDR12,OUT049,2934.4182
NCC54,OUT046,4061.2588
DRN59,OUT013,735.6661
FDX50,OUT019,277.85983
FDV31,OUT027,5056.4746
NCA29,OUT027,5087.7754
FDW60,OUT049,2934.4182
FDX08,OUT017,3102.7996
DRD49,OUT013,3996.236
FDD33,OUT046,3781.7478
FDW35,OUT013,663.3342
FDJ36,OUT017,1623.3066
FDV51,OUT035,2820.964
FDW36,OUT046,1620.8895
FDH35,OUT046,2604.8542
NCS30,OUT027,3235.4753
FDN49,OUT017,657.27734
FDL08,OUT018,3464.494
FDI09,OUT013,4089.936
FDP19,OUT018,1830.9147
FDU21,OUT010,104.995285
NCP41,OUT045,1620.8895
FDY10,OUT013,1834.4652
FDP12,OUT018,581.1396
NCN26,OUT049,2010.0055
FDK44,OUT013,2931.5618
FDC28,OUT049,1626.1493
FDJ41,OUT027,6036.481
NCT29,OUT035,2065.4607
NCH42,OUT019,528.4544
FDU60,OUT018,2557.4106
FDS02,OUT045,3081.402
FDC51,OUT046,2064.309
FDU03,OUT013,3102.3025
FDX39,OUT045,3650.5112
NCY05,OUT010,112.21373
NCL06,OUT027,6117.512
FDD32,OUT035,1294.9823
NCN41,OUT045,2064.309
NCX53,OUT049,2064.309
FDU57,OUT019,349.2737
FDQ23,OUT046,1620.8895
FDQ52,OUT045,4096.2026
FDC14,OUT045,666.8594
FDY09,OUT035,2932.0588
FDQ28,OUT045,2534.8325
FDV25,OUT046,3666.9568
FDJ07,OUT035,2011.1573
DRB25,OUT049,1620.8895
FDK52,OUT019,541.6926
FDY52,OUT027,1765.882
FDB28,OUT046,3081.402
FDT36,OUT035,644.30597
FDV25,OUT017,3736.728
NCN07,OUT027,3235.4753
FDC57,OUT017,3082.6829
FDQ03,OUT018,3311.325
FDU23,OUT017,2852.7473
NCX41,OUT035,3637.301
NCD06,OUT035,741.6092
FDW08,OUT045,1620.8895
NCU29,OUT017,2518.6572
NCE06,OUT013,2589.612
FDV52,OUT010,266.8646
FDB02,OUT017,2929.6902
NCR18,OUT045,676.9989
FDK16,OUT049,1503.8259
NCQ29,OUT010,622.285
FDZ01,OUT019,246.1825
FDW27,OUT035,2563.643
FDD17,OUT018,3387.2131
FDW39,OUT013,2931.5618
DRH59,OUT045,1019.8329
FDS52,OUT013,1621.2172
FDU40,OUT027,5278.0894
NCF54,OUT013,2931.5618
FDH46,OUT045,1620.8895
NCP14,OUT049,1620.8895
FDH50,OUT049,3085.0422
DRF15,OUT010,376.80054
FDV27,OUT027,2487.5518
NCJ06,OUT049,2061.7893
FDN02,OUT018,3166.2231
FDQ51,OUT049,743.39264
FDQ07,OUT017,3736.728
FDS45,OUT049,1620.8895
NCJ06,OUT045,2064.309
FDD36,OUT035,2011.1573
FDY25,OUT045,3101.5188
FDU52,OUT046,2532.6045
DRK47,OUT017,3788.0024
NCL30,OUT017,2086.581
FDN22,OUT035,4113.4155
NCF30,OUT027,3170.228
FDK03,OUT035,4113.4155
FDT45,OUT017,871.2654
NCC54,OUT027,6122.156
FDP08,OUT018,2872.439
FDU44,OUT046,2604.8542
DRG39,OUT035,830.7912
FDU32,OUT049,2064.309
FDY27,OUT049,2953.2195
NCP54,OUT013,2089.6875
NCZ41,OUT049,2064.309
DRL49,OUT013,2099.5503
FDI05,OUT018,1081.6465
FDY56,OUT045,3743.844
DRC13,OUT013,2089.6875
NCV29,OUT017,2955.82
FDR24,OUT049,1443.0916
FDZ34,OUT018,2872.439
FDP37,OUT035,2065.4607
FDX08,OUT027,5021.233
FDS57,OUT045,2064.309
NCG18,OUT049,1620.8895
FDK25,OUT018,2580.9172
FDH53,OUT049,1270.3489
DRI59,OUT018,3171.4966
FDA52,OUT046,2930.778
FDT20,OUT010,114.360214
FDE36,OUT019,501.03104
FDI24,OUT017,2929.6902
FDB28,OUT018,2952.074
FDV11,OUT017,2929.6902
FDP01,OUT046,2532.6045
FDD34,OUT027,4229.307
FDJ50,OUT027,1573.0106
FDZ44,OUT013,2037.9658
DRO59,OUT035,1146.1014
DRB48,OUT045,666.8594
FDR21,OUT018,2774.74
NCE42,OUT010,575.35406
FDO23,OUT046,1464.7268
NCE30,OUT018,3158.1758
FDQ22,OUT035,646.2285
FDY01,OUT045,2010.0055
FDS08,OUT017,2929.6902
FDG28,OUT018,3464.494
FDQ51,OUT018,718.7303
FDB05,OUT017,4085.6384
FDO56,OUT049,2010.0055
FDE02,OUT018,1352.8947
FDN45,OUT017,3736.728
FDS09,OUT013,735.6661
NCA54,OUT018,2801.2307
FDP09,OUT010,591.79114
FDC53,OUT045,1613.3783
NCM55,OUT017,3082.6829
FDL09,OUT018,2580.9172
FDA11,OUT019,261.0835
FDA50,OUT045,1503.8259
FDC23,OUT017,2955.82
FDE22,OUT049,2590.5872
FDD23,OUT046,3081.402
NCA29,OUT049,2934.4182
FDK38,OUT046,2527.3228
DRC13,OUT046,2064.309
NCP43,OUT049,2958.1794
FDX28,OUT049,1613.3783
FDF08,OUT049,1443.0916
FDZ33,OUT046,2527.3228
FDD10,OUT049,2953.2195
FDO58,OUT017,2591.0154
FDI50,OUT017,3807.5918
FDO58,OUT045,2604.8542
FDX08,OUT013,2981.6333
NCK17,OUT010,113.93961
FDF39,OUT035,4119.64
FDU45,OUT010,238.79778
NCJ18,OUT018,1771.241
DRC27,OUT019,530.4153
DRC25,OUT035,1447.4453
FDU59,OUT035,2598.5632
FDU28,OUT035,3082.6829
NCP30,OUT046,666.8594
FDB39,OUT018,814.2954
FDE41,OUT013,1445.5088
DRH11,OUT010,178.05516
FDA58,OUT045,3952.8794
FDU50,OUT046,2010.0055
FDM34,OUT013,2089.6875
FDM44,OUT027,2663.6938
FDR39,OUT045,3081.402
FDM25,OUT045,2930.778
FDQ49,OUT049,2533.3823
DRH25,OUT018,740.61346
FDM09,OUT027,4332.984
FDL44,OUT019,352.66928
NCR42,OUT018,579.1099
DRL59,OUT046,830.7912
FDX43,OUT013,2871.3027
DRK47,OUT010,594.8705
FDU48,OUT018,1830.9147
FDY12,OUT045,741.6092
NCN43,OUT018,1830.9147
NCM55,OUT018,2872.439
FDQ21,OUT027,3142.2988
FDX13,OUT035,4113.4155
NCK30,OUT027,6108.8765
FDG20,OUT049,2934.4182
DRG27,OUT017,657.27734
FDY14,OUT018,3746.8872
FDP59,OUT035,1622.0413
FDU60,OUT017,2872.9136
NCC18,OUT019,436.88275
DRJ39,OUT017,3651.8083
FDS07,OUT049,2001.9149
FDM08,OUT027,5541.43
FDP51,OUT045,2064.309
FDU16,OUT035,1401.4587
FDH12,OUT013,1623.3066
DRE48,OUT010,455.59677
NCL42,OUT027,6122.156
FDR21,OUT045,2930.778
NCW29,OUT035,2065.4607
FDO11,OUT013,4130.0083
NCM31,OUT049,2064.309
FDV35,OUT019,333.11264
FDF58,OUT017,931.3033
NCE43,OUT049,2879.3403
FDA02,OUT035,2712.0295
DRL37,OUT010,125.33958
FDR24,OUT018,1350.2728
FDW59,OUT049,1398.5018
FDS22,OUT049,685.57007
FDW24,OUT017,732.02716
FDU24,OUT035,1504.9778
FDA21,OUT027,5140.0923
FDH58,OUT027,3058.8862
FDW36,OUT018,1503.7108
FDI45,OUT027,5009.3945
FDU01,OUT018,2872.439
FDF35,OUT027,2654.2153
FDU43,OUT019,530.4153
FDE24,OUT019,256.33582
FDK50,OUT049,2603.404
